web-scraper-order,web-scraper-start-url,month,about,headlines,sentiment,category
1720775620-194,https://www.thehindu.com/archive/web/2023/01/27/,Jan,Hyderabad,Sharmila to resume “Praja Prasthanam” padayatra on February 2,positive,other
1720775620-195,https://www.thehindu.com/archive/web/2023/01/27/,Jan,Kerala,37 fishermen shifted to new houses built under Punargeham scheme,positive,other
1720775620-196,https://www.thehindu.com/archive/web/2023/01/27/,Jan,World,Putin blasts 'neo-Nazis' in Ukraine on Holocaust Remembrance Day,negative,other
1720775620-197,https://www.thehindu.com/archive/web/2023/01/27/,Jan,Andhra Pradesh,Miscreants ransack MLA’s house,negative,other
1720775620-198,https://www.thehindu.com/archive/web/2023/01/27/,Jan,Bengaluru,Post offices in IT capital are not so digital yet,negative,other
1720775620-199,https://www.thehindu.com/archive/web/2023/01/27/,Jan,Kochi,Thrikkakara Municipality sends resolution against secretary to government,negative,political
1720775620-200,https://www.thehindu.com/archive/web/2023/01/27/,Jan,Mumbai,"Hindu outfit leader, 19 others acquitted in 2014 murder case of an IT professional in Pune",negative,criminal
1720775623-201,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Madurai,Repulic Day celebrated at Corporation office,positive,other
1720775623-202,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Puducherry,"Puducherry govt. should increase allocation for capital expenditure, says former MP",positive,other
1720775623-203,https://www.thehindu.com/archive/web/2023/01/26/,Jan,India,India displays indigenous arms and women power,positive,other
1720775623-204,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Madurai,"Madurai Collector unfurls national flag, stresses segregation of waste at gram sabha meet",negative,other
1720775623-205,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Delhi,Celebrating the myriad facets of Urdu in English,positive,other
1720775623-206,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Bengaluru,Bike lifter arrested in Bengaluru,negative,criminal
1720775623-207,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Bengaluru,Wall painter killed in road accident in Bengaluru,negative,other
1720775623-208,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Science,Why is Japan planning to flush Fukushima wastewater into the ocean?,positive,other
1720775623-209,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Other States,Baghel announces monthly allowance for unemployed youth in Chhattisgarh,positive,other
1720775623-210,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Coimbatore,Activist stage protest near Salem Collectorate,negative,other
1720775623-211,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Bengaluru,Bikers rob elderly woman of part of gold chain in Bengaluru,negative,other
1720775623-212,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Other States,"Bihar caste survey | Phase 1 completed, form for next stage still being finalised",positive,other
1720775623-213,https://www.thehindu.com/archive/web/2023/01/26/,Jan,India,74th Republic Day | Strong and steady down Kartavya Path,positive,other
1720775623-214,https://www.thehindu.com/archive/web/2023/01/26/,Jan,India,Two different reports by two different wings of UP Police on medical student's death; SC orders CBI probe,negative,other
1720775623-215,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Telangana,KCR abstains from At Home,negative,other
1720775623-216,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Telangana,Revanth claims Eatala Rajender has realised that BJP not serious to defeat KCR,negative,other
1720775623-217,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Karnataka,A touch of conservation from Bamiyan to Ajanta and Angkor Wat,positive,other
1720775623-218,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Other States,Evacuees from ‘sinking’ Joshimath await pre-fabricated houses,positive,other
1720775623-219,https://www.thehindu.com/archive/web/2023/01/26/,Jan,India,EPFO’s plan to review high pension payout cases sparks concern,negative,other
1720775623-220,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Chennai,Residential welfare associations barred from celebrating R-Day in parks of Ambattur,negative,other
1720775623-221,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Andhra Pradesh,City hospital performs free heart surgeries for 20 children,positive,health
1720775623-222,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Chennai,Audi India told to refund over ₹60 lakh for defect in braking system,negative,other
1720775623-223,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Telangana,Next Vande Bharat Express likely towards Tirupati,positive,other
1720775623-224,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Chennai,Idol Wing to trace 70 accused persons against whom non-bailable warrants are pending,negative,other
1720775623-225,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Madurai,Two found dead on railway track,negative,other
1720775623-226,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Tamil Nadu,Felicitation of Tasmac officials during Republic Day celebration at Karur raises eyebrows,positive,other
1720775623-227,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Andhra Pradesh,VIT-AP varsity felicitates ‘unsung heroes’ on Republic Day,positive,other
1720775623-228,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Madurai,Republic Day celebrated at Alagappa University,positive,other
1720775623-229,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Karnataka,Three from Mysuru conferred Padma awards,positive,other
1720775623-230,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Karnataka,Bengaluru sees a slew of civil work ahead of elections,positive,political
1720775623-231,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Karnataka,"Time has come to oust BJP, say Congress leaders",negative,political
1720775623-232,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Telangana,Transfer of teachers from Friday,positive,other
1720775623-233,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Madurai,74th Republic Day | 45 teachers honoured in Kanniyakumari district,positive,other
1720775623-234,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Bengaluru,"In post-pandemic admission season, parents are seeking holistic education for children",positive,health
1720775623-235,https://www.thehindu.com/archive/web/2023/01/26/,Jan,India,"India making substantial contribution to international stability and security, says Putin",positive,other
1720775623-236,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Telangana,5-km run held at Nanakramguda Prestige High Fields society,positive,other
1720775623-237,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Tamil Nadu,"English, not Hindi, gave Tamils the advantage in the era of globalisation: Durai Vaiko",positive,other
1720775623-238,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Madurai,More funds will be allocated to improve village panchayats: Minister,positive,other
1720775623-239,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Andhra Pradesh,"Palnadu, Bapatla celebrate with enthusiasm the first R-Day after formation of districts",positive,other
1720775623-240,https://www.thehindu.com/archive/web/2023/01/26/,Jan,Bengaluru,Domicile reservation for Karnataka candidates: Higher Education Minister writes second letter to NLSIU,positive,other
1720775627-241,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Kolkata,ISF takes out rally in Kolkata seeking its lone MLA’s release,negative,other
1720775627-242,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Kerala,Historian C.I. Issac wins Padma award,positive,other
1720775627-243,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Coimbatore,Man arrested for assault in Tiruppur,negative,criminal
1720775627-244,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Kochi,Bribery charges: police record lawyer’s statement,negative,other
1720775627-245,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Chennai,Seven arrested for murder,negative,criminal
1720775627-246,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Kerala,Padma Shri for four Keralites,positive,other
1720775627-247,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Tamil Nadu,Varsity to offer online course in Patent Law,positive,other
1720775627-248,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Kerala,Septuagenarian tribal farmer from Wayanad wins Padma Shri,positive,other
1720775627-249,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Karnataka,Poll-bound Karnataka gets eight Padma awards,positive,other
1720775627-250,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Visakhapatnam,"Visakhapatnam: release white paper on development works taken up in wards, corporator urges GVMC",positive,other
1720775627-251,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Kerala,"‘We should project Kalaripayattu,’ says Padma award winner S. R. D. Prasad",positive,other
1720775627-252,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Chennai,All acquitted in the case of school girl falling to death through a hole in the floor of the bus in 2012,negative,other
1720775627-253,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Karnataka,Padmashri Award for Bidri craftsperson,positive,other
1720775627-254,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Tamil Nadu,"Madras High Court quashes ban on manufacture, sale of gutkha",negative,other
1720775627-255,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Chennai,Tamil Nadu reports 10 fresh cases of COVID-19,negative,health
1720775627-256,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Tamil Nadu,DCE instructs govt. colleges to complete syllabus by May 1 for first- year students,positive,other
1720775627-257,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Tamil Nadu,Annamalai blames State govt. for failing to ensure safety of Tangedco workers,negative,other
1720775627-258,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Coimbatore,10 long-pending demands in every constituency will be fulfilled: Minister,positive,other
1720775627-259,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Visakhapatnam,Visakhapatnam: Intermediate student ‘ends’ life at Bheemunipatnam,negative,other
1720775627-260,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Bengaluru,"Farmer, vegetable vendor arrested for trying to sell leopard nails",negative,criminal
1720775627-261,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Bengaluru,Four involved in inter-State fake currency racket held,negative,other
1720775627-262,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Chennai,24 police officers to receive Medal for Distinguished and Meritorious Services,positive,other
1720775627-263,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Sport,"Danneberg, Grambusch brothers star as Germany shoots out England",positive,other
1720775627-264,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Bengaluru,Student arrested for assault,negative,criminal
1720775627-265,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Kerala,Zoo TB deaths: strengthening of biosecurity measures mooted,negative,other
1720775627-266,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Tamil Nadu,"Congress, CPI MLAs to boycott Governor’s ‘At Home’ reception",negative,political
1720775627-267,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Karnataka,Three high school dropouts arrested for cheating people posing as BBMP staff,negative,criminal
1720775627-268,https://www.thehindu.com/archive/web/2023/01/25/,Jan,India,Explained | Understanding the ‘basic structure’ of the Constitution and Jagdeep Dhankar’s criticism of it,positive,other
1720775627-269,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Kochi,KAU to take its innovative course of PG Diploma in Horticulture Therapy to a wider audience,positive,other
1720775627-270,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Hyderabad,SBI staff contribute ₹33.78 lakh to Armed Forces Flag Day Fund,positive,other
1720775627-271,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Kerala,Project to improve solid waste management systems in urban bodies in Alappuzha approved,positive,other
1720775627-272,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Kerala,Kerala school announces menstrual holiday for students,positive,other
1720775627-273,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Kerala,Two more arrested in food poisoning case,negative,criminal
1720775627-274,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Kerala,Finnish education practices to be incorporated: Minister,positive,other
1720775627-275,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Kerala,Jose K. Mani to move private bill on wildlife attacks,positive,political
1720775627-276,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Tennis,Djokovic crushes Rublev to reach Australian Open semi-finals,positive,other
1720775627-277,https://www.thehindu.com/archive/web/2023/01/25/,Jan,World,"U.S., Germany to send tanks to Ukraine",positive,other
1720775627-278,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Tennis,Sabalenka battles 'tough moments' to reach Australian Open semis,positive,other
1720775627-279,https://www.thehindu.com/archive/web/2023/01/25/,Jan,Karnataka,"Under pressure from private hospitals, government modifies Yeshasvini package rates",positive,political
1720775627-280,https://www.thehindu.com/archive/web/2023/01/25/,Jan,World,Explained | The next leg of the Russia-Ukraine war,positive,other
1720775630-281,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Tamil Nadu,VCK to boycott Republic Day Tea party at Raj Bhavan: Thirumavalavan,negative,other
1720775630-282,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Visakhapatnam,Visakhapatnam: Kanchi pontiff to perform Maha Kumbhabhishekam at Mahalakshmi temple at Bhimili on January 26,positive,other
1720775630-283,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Tamil Nadu,IIT-Madras hosts G20 University Connect lecture series,positive,other
1720775630-284,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Telangana,KTR asks people to support BRS for a hat-trick win to carry on good work,positive,other
1720775630-285,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Kochi,"No concrete action against faecal contamination in Edappally, Perandoor canals, says NGT",negative,other
1720775630-286,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Tamil Nadu,Ed-Tech startup Bversity gets seed funding,positive,technology
1720775630-287,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Kerala,UDF demands steps to address congestion in ghat section of NH-766,positive,other
1720775630-288,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Kerala,Phase 2 of anti-drugs campaign ends tomorrow,positive,other
1720775630-289,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Visakhapatnam,Chief Minister to visit Visakhapatnam on January 28,positive,other
1720775630-290,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Kozhikode,UDF approaches CAG over scams in Kozhikode Corporation,positive,other
1720775630-291,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Kozhikode,Four die in road accidents every week in Kozhikode city,negative,other
1720775630-292,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Coimbatore,Erode East bypoll | Former AIADMK Ministers meet Edappadi Palaniswami in Salem,positive,other
1720775630-293,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Tamil Nadu,Madurai Bench of Madras HC asks panel to take action against resorts creating artificial waterfalls,positive,other
1720775630-294,https://www.thehindu.com/archive/web/2023/01/24/,Jan,India,Youth outfits defy ‘ban’ to hold public screenings of BBC documentary on PM Modi,negative,other
1720775630-295,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Education,"News from the world of Education: January 24, 2023",positive,other
1720775630-296,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Bengaluru,Accountant killed in road accident,negative,other
1720775630-297,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Tamil Nadu,Heart from donor in Madurai reaches city hospital in two hours,positive,health
1720775630-298,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Madurai,Councillors voice out their problems at grievance redressal meeting,positive,other
1720775630-299,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Andhra Pradesh,Mass mortality of Olive Ridley turtles in Godavari region of Andhra Pradesh raises concerns,negative,other
1720775630-300,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Kochi,Gaps in enforcement against dangling wires to the fore as accidents rise,negative,other
1720775630-301,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Telangana,Telugu film industry elated as ‘Naatu Naatu’ gets Oscar nomination,positive,other
1720775630-302,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Other Sports,"Indonesia Masters: Priyanshu enters main draw, Praneeth's struggle continues",positive,other
1720775630-303,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Tamil Nadu,"Anna varsity ties affiliation to academic audit of courses, classes",positive,other
1720775630-304,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Madurai,AITUC members stage agitation against policies of Union government,negative,political
1720775630-305,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Visakhapatnam,"490 sedative injections seized, one arrested in Visakhapatnam",negative,criminal
1720775630-306,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Hyderabad,"Miscreants open fire at wine shop staff, flee with ₹2 lakh",negative,other
1720775630-307,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Bengaluru,Hospital ties up with Fujifilm for storing sensitive medical documents,negative,health
1720775630-308,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Visakhapatnam,"Visakhapatnam RPO processed the highest number of passport applications in 2022 compared to previous three years, says Regional Passport Officer",positive,other
1720775630-309,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Bengaluru,Security tightened for R-Day,positive,other
1720775630-310,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Kochi,Ro-ro vessel Sethu Sagar-I to be out of service for a few months,negative,other
1720775630-311,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Chennai,Chief Minister orders new sports complex in North Chennai,positive,other
1720775630-312,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Andhra Pradesh,U.P. CM’s Adviser all praise for A.P. govt.’s initiatives in agriculture and other sectors,positive,other
1720775630-313,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Karnataka,"Deve Gowda writes to Kharge, says he cannot make it to the culmination of Bharat Jodo Yatra",positive,other
1720775630-314,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Chennai,Danish technical team inspects major city waterways with WRD officials,positive,technology
1720775630-315,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Karnataka,Anganwadi workers on an indefinite protest,positive,other
1720775630-316,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Kerala,Quiz competition held,positive,other
1720775630-317,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Kerala,NH upgradation to be made more efficient,positive,other
1720775630-318,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Other Sports,Lack of consultation over setting up of inquiry panel upsets protesting wrestlers,negative,other
1720775630-319,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Madurai,Two killed in Ramanathapuram,negative,other
1720775630-320,https://www.thehindu.com/archive/web/2023/01/24/,Jan,Kerala,"New data insights can help prevent pandemics, says health expert",positive,health
1720775635-321,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Madurai,"Cases of common cold rise in Madurai, doctors blame wet weather",negative,health
1720775635-322,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Madurai,Finance Minister inaugurates smart classrooms at 5 corporation schools in Madurai,positive,business
1720775635-323,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Kochi,Quarry owners threaten to go on indefinite strike,negative,other
1720775635-324,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Tamil Nadu,Erode (East) bypoll | Panneerselvam reiterates that his group will field a candidate,positive,other
1720775635-325,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Chennai,Seven persons test positive for COVID-19,negative,health
1720775635-326,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Technology,Internet Archive takes down upload of BBC’s Modi documentary,negative,technology
1720775635-327,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Visakhapatnam,JSP corporator launches fast-unto-death in Visakhapatnam,negative,other
1720775635-328,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Kochi,Supplyco sells non-subsidised items worth ₹665 crore,positive,other
1720775635-329,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Hyderabad,25 women empowerment centres soon for counselling domestic violence victims: Telangana DGP,positive,other
1720775635-330,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Kerala,"Kerala striving to attract investment in tourism, says Governor",negative,business
1720775635-331,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Visakhapatnam,"Make breast cancer drugs affordable, Praja Arogya Vedika urges Union government",positive,political
1720775635-332,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Kochi,Bullets recovered from tree cavity in Kochi,negative,other
1720775635-333,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Hyderabad,"Kulsumpet murder: three accused identified, special teams formed",negative,criminal
1720775635-334,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Hyderabad,"Hyderabad building fire: skeletal remains sent to FSL, search for 2 missing workers continues",negative,other
1720775635-335,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Hyderabad,Burnt building to be demolished by GHMC,negative,other
1720775635-336,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Bengaluru,JNCASR scientists develop brain-like computing with industry compatible nitride semiconductors,positive,other
1720775635-337,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Hyderabad,Bharat Biotech subsidiary recalls rabies vaccine batch after theft,negative,criminal
1720775635-338,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Kerala,Marriage of minor rape victim: three arrested,negative,criminal
1720775635-339,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Kochi,Seizure of stale chicken: police arrest prime accused,negative,criminal
1720775635-340,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Other States,"Trivendra Rawat is an attention seeker, says Char Dham temple priests on former CM’s remark on Joshimath",negative,other
1720775635-341,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Mumbai,National Commission for Scheduled Tribes issues warrant of arrest against Maharashtra officials over child-selling racket,negative,criminal
1720775635-342,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Madurai,Madras HC directs bank to release jewellery,positive,other
1720775635-343,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Other States,"All of earth’s problems will be solved if cow slaughter is stopped, says Gujarat judge",positive,other
1720775635-344,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Karnataka,"Will hand over corruption cases during Congress regime to Lokayukta, says CM",negative,political
1720775635-345,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Karnataka,Congress blames ‘corruption by BJP’ for civic apathy and crumbling infrastructure,negative,political
1720775635-346,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Visakhapatnam,Free battery- operated prosthetic hand distribution camp in Visakhapatnam on Feburary 8 and 9,positive,other
1720775635-347,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Other States,Cong. MLA wants Bill to bar non-Punjabis from buying agriculture land in State,positive,political
1720775635-348,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Bengaluru,Hardware engineer who killed wife was illegal Bangladeshi immigrant,negative,other
1720775635-349,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Tamil Nadu,150 differently abled persons get new wheelchairs,positive,other
1720775635-350,https://www.thehindu.com/archive/web/2023/01/23/,Jan,India,Air India Urination incident | Cabin crew association demands revoking derostering of the flight crew,negative,other
1720775635-351,https://www.thehindu.com/archive/web/2023/01/23/,Jan,India,"Congress has no patriotism left, says BJP after Digvijay’s comment on surgical strikes",negative,political
1720775635-352,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Other States,"Non-inclusion of Punjab tableau in R-Day parade angers AAP, SAD",positive,other
1720775635-353,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Tiruchirapalli,Campus Connect,positive,other
1720775635-354,https://www.thehindu.com/archive/web/2023/01/23/,Jan,India,"DRDO, Naval Group reach agreement on indigenous AIP modules on Scorpene submarines",positive,other
1720775635-355,https://www.thehindu.com/archive/web/2023/01/23/,Jan,India,"Left jobless, thousands of Indian IT workers scramble for options to stay in the U.S.",negative,other
1720775635-356,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Visakhapatnam,Telugu actor Sudheer Varma dies in Visakhapatnam,negative,other
1720775635-357,https://www.thehindu.com/archive/web/2023/01/23/,Jan,India,Thousands of Indian IT professionals now jobless scrambling for options to stay in the U.S.,negative,other
1720775635-358,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Telangana,BRS blames Congress for Palamuru-RR project delay,negative,political
1720775635-359,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Tiruchirapalli,88-year-old man found dead,negative,other
1720775635-360,https://www.thehindu.com/archive/web/2023/01/23/,Jan,Mangaluru,Absconding POCSO case accused arrested at Nepal border,negative,criminal
1720775637-361,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Tamil Nadu,Erode (East) bypoll | Congress fields E.V.K.S. Elangovan,positive,political
1720775637-362,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Tamil Nadu,Three persons killed after crane collapses during temple festival near Arakkonam,negative,other
1720775637-363,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Hyderabad,Symphony orchestra brings curtains down on science fest at HPS,positive,other
1720775637-364,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Hyderabad,‘Remember Che Guevara not just through T-shirts but his world-changing ideology’,positive,other
1720775637-365,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Tamil Nadu,Panneerselvam leaves for Gujarat to take part in Pongal event,positive,other
1720775637-366,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Tamil Nadu,Erode (East) bypoll | We were only waiting for party colleagues in front of BJP office: Jayakumar,positive,other
1720775637-367,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Hyderabad,"Ahead of Formula E championship, 26 race cars to arrive in Hyderabad",positive,other
1720775637-368,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Coimbatore,Dravidian parties cannot give corruption-free governance: Tamilaruvi Manian,negative,other
1720775637-369,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Tamil Nadu,"Tamil Nadu emblem, name reappear in Raj Bhavan’s invite",positive,other
1720775637-370,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Tamil Nadu,"Stalin condoles deaths in jallikattu-related incidents, announces solatium",negative,other
1720775637-371,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Tamil Nadu,Tamil Nadu had outstanding liabilities of ₹4.73 lakh crore from bonds as of March 2022,positive,other
1720775637-372,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Tamil Nadu,Erode East bypoll | BJP open to fielding a candidate or lending its symbol,positive,other
1720775637-373,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Kerala,"Amid illness, death and ageing inhabitants, City zoo faces animal exchange woes",negative,other
1720775637-374,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Mangaluru,Congress firm on implementing all its assurances: D.K. Shivakumar,positive,political
1720775637-375,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Economy,"Exim data revised, trade deficit narrows by $10 billion",positive,political
1720775637-376,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Bengaluru,"Bengaluru City University slashes remuneration for guest faculty members by nearly 40%, draws ire",negative,other
1720775637-377,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Tamil Nadu,NET syllabus may be taken for faculty recruitment exam: DCE,positive,other
1720775637-378,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Chennai,BJP functionary arrested for posting abusive video on social media,negative,criminal
1720775637-379,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Puducherry,A music and light show to mark Franco-German friendship,positive,other
1720775637-380,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Puducherry,AIADMK wants to drop the pre-paid smart meter reading in Puducherry,positive,other
1720775637-381,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Bengaluru,Flight plan for Aero India unveiled,positive,other
1720775637-382,https://www.thehindu.com/archive/web/2023/01/22/,Jan,India,President Murmu to confer PM’s national award for children,positive,other
1720775637-383,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Mangaluru,"Investors not interested in coastal Karnataka as BJP has sown the seeds of communalism, says D.K. Shivakumar",negative,other
1720775637-384,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Visakhapatnam,Minor girl ‘attacks’ father with a knife in Visakhapatnam,negative,other
1720775637-385,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Kerala,Three arrested during special drive against drug trafficking,negative,criminal
1720775637-386,https://www.thehindu.com/archive/web/2023/01/22/,Jan,Kerala,"Govt. HSS, Aruvikkara, PTA builds houses for four students",positive,other
